additional,flexible,tackle
argue,gathered,typical
arrange,infer,unite
assist,intelligent,unusual
attract,invitation,valuable
careless,irritate,vehicle
cause,multiply,volunteer
climate,nervous,
compare,occur,
construct,opposite,
continent,passage,
contrast,patient,
culture,peer,
defend,persuade,
describe,pleasant,
details,prank,
develop,predict,
diagram,purpose,
disappointed,recognize,
division,region,
effect,repair,
elect,ridiculous,
endangered,scatter,
event,signal,
examine,similar,
example,solution,
experience,stumble,
